x,y
1.37103e+06,21778.3
1.37103e+06,21733.1
1.37103e+06,21689.2
1.37103e+06,21646.6
1.37103e+06,21605
1.37103e+06,21564.7
1.37103e+06,21525.4
1.37103e+06,21487.2
1.37103e+06,21450.1
1.37103e+06,21413.9
1.37103e+06,21378.7
1.37103e+06,21344.5
1.37103e+06,21311.2
1.37103e+06,21278.8
1.37103e+06,21247.3
1.37103e+06,21216.6
1.37103e+06,21186.7
1.37103e+06,21157.6
1.37103e+06,21129.3
1.37103e+06,21101.7
1.37103e+06,21074.9
1.37103e+06,21048.8
1.37103e+06,21023.3
1.37103e+06,20998.6
1.37103e+06,20974.4
1.37103e+06,20950.9
1.37103e+06,20928.1
1.37103e+06,20905.8
1.37103e+06,20884.1
1.37103e+06,20862.9
1.37103e+06,20842.3
1.37103e+06,20822.3
1.37103e+06,20802.7
1.37103e+06,20783.7
1.37103e+06,20765.1
1.37103e+06,20747.1
1.37103e+06,20729.4
1.37103e+06,20712.3
1.37103e+06,20695.6
1.37103e+06,20679.3
1.37103e+06,20663.4
1.37103e+06,20647.9
1.37103e+06,20632.9
1.37103e+06,20618.2
1.37103e+06,20603.8
1.37103e+06,20589.9
1.37103e+06,20576.3
1.37103e+06,20563
1.37103e+06,20550.1
1.37103e+06,20537.5
1.37103e+06,20525.2
1.37103e+06,20513.3
1.37103e+06,20501.6
1.37103e+06,20490.2
1.37103e+06,20479.1
1.37103e+06,20468.3
1.37103e+06,20457.8
1.37103e+06,20447.5
1.37103e+06,20437.5
1.37103e+06,20427.7
1.37103e+06,20418.2
1.37103e+06,20408.9
1.37103e+06,20399.9
1.37103e+06,20391
1.37103e+06,20382.4
1.37103e+06,20374
1.37103e+06,20365.9
1.37103e+06,20357.9
1.37103e+06,20350.1
1.37103e+06,20342.5
1.37103e+06,20335.1
1.37103e+06,20327.9
1.37103e+06,20320.9
1.37103e+06,20314
1.37103e+06,20307.3
1.37103e+06,20300.8
1.37103e+06,20294.4
1.37103e+06,20288.2
1.37103e+06,20282.2
1.37103e+06,20276.3
1.37103e+06,20270.5
1.37103e+06,20264.9
1.37103e+06,20259.4
1.37103e+06,20254.1
1.37103e+06,20248.9
1.37103e+06,20243.8
1.37103e+06,20238.8
1.37103e+06,20234
1.37103e+06,20229.3
1.37103e+06,20224.7
1.37103e+06,20220.2
1.37103e+06,20215.8
1.37103e+06,20211.5
1.37103e+06,20207.4
1.37103e+06,20203.3
1.37103e+06,20199.4
1.37103e+06,20195.5
